Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cp_fs1,cp_fs2,cp_fd,cp_fs1_edges,cp_fs2_edges,cmp_fd_fs1,cmp_fd_fs2,cp_frm,cp_csr_fflags,cp_csr_frm,cr_fs1_fs2_edges,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB,cp_fpr_hazard,cp_gpr_hazard
fcvtmod.w.d,F2X,x,x,x,,,x,,,x,,,D,,,,,vn,,,,,,r,w
fleq.d,FC,x,x,x,,,x,,,x,x,,D,D,,,,v,,D,,,,r,w
fli.d,FLI,x,x,x,fli,,,,,,,x,,,,,,,,,,,,w,
fltq.d,FC,x,x,x,,,x,,,x,x,,D,D,,,,v,,D,,,,r,w
fmaxm.d,FR,x,x,x,,,,,,x,x,x,D,D,x,x,,v,,D,,,,rw,
fminm.d,FR,x,x,x,,,,,,x,x,x,D,D,x,x,,v,,D,,,,rw,
fmvh.x.d,F2X,x,,x,,,x,,,x,,,D,,,,,,,,,,,r,w
fmvp.d.x,PX2F,x,,x,x,x,,x,x,,,x,,,,,,,,,,,,w,r
fround.d,FI,x,x,x,,,,,,x,,x,D,,x,,2,v,x,,,,,rw,
froundnx.d,FI,x,x,x,,,,,,x,,x,D,,x,,2,vn,x,,,,,rw,
,,,,,,,,,,,,,,,,,,,,,,,,,
fleq.s,FC,x,x,,,,,,,,,,,,,,,,,,,D_S,D_S,,
fli.s,FLI,x,x,,,,,,,,,,,,,,,,,,D_S,,,,
fltq.s,FC,x,x,,,,,,,,,,,,,,,,,,,D_S,D_S,,
fmaxm.s,FR,x,x,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
fminm.s,FR,x,x,,,,,,,,,,,,,,,,,,D_S,D_S,D_S,,
fround.s,FI,x,x,,,,,,,,,,,,,,,,,,D_S,D_S,,,
froundnx.s,FI,x,x,,,,,,,,,,,,,,,,,,D_S,D_S,,,
